@ % C # C & C W C C @ # C C C C C P C J
C C C J C C W # C C # C C C # C # C W C
C C C C C C # C # C C @ C C C C # C % C
C C C C & C C C C C C C C C C C C W C C
C C # C C # C C # # C C C C C C C C C C
C C C C C C % C C C C J % C % C * C C C
C C # C C % C # % C C C % C C # C C # C
C C C C C # C W C C C C C C C C C # # #
# C C C C C C C # C C C C C # C C C # C
# C C C C C P C C C C C C C C C C C C C
C C C C C C C C # C C C # C C # C & C &
C C # % # C # C P C C C C C C C C C C #
P C C C C C C C W C C C C & W C C C C C
C C & C # # C C C P $ C C C & C W C C C
C C # C C C C C J C C C # C % % C # C C
C $ # # C # C C C C C C C C C C # # W C
C C C C C C C % # $ % $ # $ # C W C C @
C @ # J C & % % C J C @ C C # C C W C P
# C # C C C C C C C C C C C W P C C C C
C C C C C C C C C C C C C C C C C C C &
